epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16658.6,1.71438,1.1544,1.31158,0.42919,0.29588,0.32112,0.17842,1.93519,1.75456,1.44813,0.005842,0.005842,0.005842
44,17040.3,1.72435,1.15464,1.31016,0.43127,0.29567,0.32139,0.17901,1.9336,1.77849,1.44768,0.005743,0.005743,0.005743
45,17424.5,1.72937,1.1535,1.31155,0.43202,0.2963,0.32177,0.17943,1.931,1.77824,1.44742,0.005644,0.005644,0.005644
46,17806.2,1.71394,1.12822,1.30005,0.43258,0.2965,0.32233,0.17975,1.92915,1.77281,1.44649,0.005545,0.005545,0.005545
47,18188.1,1.71162,1.12247,1.29859,0.43311,0.2964,0.32244,0.18008,1.92721,1.77467,1.44644,0.005446,0.005446,0.005446
48,18463.6,1.6984,1.11886,1.29635,0.43439,0.2966,0.32282,0.18036,1.92484,1.77137,1.44535,0.005347,0.005347,0.005347
49,18834.4,1.70475,1.11862,1.29979,0.4348,0.29706,0.32314,0.18083,1.92478,1.78263,1.44627,0.005248,0.005248,0.005248
50,19214.8,1.68916,1.09479,1.28945,0.43312,0.29753,0.32335,0.18123,1.92418,1.7876,1.44629,0.005149,0.005149,0.005149
51,19593.8,1.68398,1.08964,1.28333,0.43634,0.29733,0.32358,0.18153,1.9228,1.7917,1.44613,0.00505,0.00505,0.00505
52,19973.3,1.68458,1.09713,1.2909,0.43615,0.29774,0.3242,0.18159,1.9219,1.79501,1.44581,0.004951,0.004951,0.004951
53,20351,1.68621,1.07533,1.28033,0.43744,0.29805,0.32445,0.18187,1.92079,1.79113,1.44429,0.004852,0.004852,0.004852
54,20725.6,1.68611,1.07339,1.2817,0.43677,0.29825,0.32487,0.1822,1.92005,1.78965,1.4427,0.004753,0.004753,0.004753
55,21103.6,1.67696,1.05716,1.27026,0.43701,0.29907,0.32536,0.18268,1.91936,1.78918,1.44208,0.004654,0.004654,0.004654
56,21482.4,1.6819,1.0643,1.27543,0.4366,0.29938,0.32575,0.18334,1.91729,1.78301,1.43983,0.004555,0.004555,0.004555
