epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,30472,1.58463,2.29293,1.19371,0.86701,0.81489,0.89041,0.50307,1.61422,1.7952,1.25354,0.005842,0.005842,0.005842
44,30958,1.5788,2.22445,1.18337,0.90818,0.8242,0.90721,0.50504,1.60257,1.77419,1.24723,0.005743,0.005743,0.005743
45,31394.7,1.56621,2.29805,1.18534,0.91009,0.82439,0.90862,0.49957,1.6067,1.76852,1.23789,0.005644,0.005644,0.005644
46,31775.8,1.55877,2.25294,1.1959,0.89015,0.83144,0.90141,0.49983,1.62237,1.81816,1.26653,0.005545,0.005545,0.005545
47,32254.7,1.59674,2.25019,1.19511,0.89748,0.83712,0.90869,0.50291,1.63075,1.76208,1.26658,0.005446,0.005446,0.005446
48,32746.2,1.56386,2.2761,1.17359,0.88942,0.81629,0.89604,0.49915,1.62153,1.82023,1.25629,0.005347,0.005347,0.005347
49,33151.7,1.56288,2.23251,1.17946,0.87957,0.8428,0.89732,0.50591,1.61752,1.75649,1.26151,0.005248,0.005248,0.005248
50,33545.3,1.54346,2.21142,1.17239,0.84929,0.85227,0.89618,0.50629,1.62772,1.79783,1.2609,0.005149,0.005149,0.005149
51,33941.4,1.53876,2.14321,1.18272,0.86758,0.8438,0.89776,0.50215,1.61896,1.75896,1.26347,0.00505,0.00505,0.00505
52,34278.9,1.51347,2.18257,1.15778,0.91465,0.81186,0.90022,0.49992,1.60482,1.74794,1.25214,0.004951,0.004951,0.004951
53,34764.3,1.5425,2.14257,1.16842,0.90578,0.81818,0.90538,0.50934,1.59667,1.74054,1.24409,0.004852,0.004852,0.004852
54,35024,1.54609,2.17092,1.17204,0.90844,0.84556,0.91805,0.51635,1.60299,1.71464,1.25431,0.004753,0.004753,0.004753
55,35273.4,1.55127,2.2404,1.17343,0.91584,0.8428,0.92102,0.51183,1.62107,1.6765,1.25924,0.004654,0.004654,0.004654
56,35565,1.52978,2.0488,1.15763,0.87929,0.85417,0.92005,0.51249,1.6296,1.65705,1.25744,0.004555,0.004555,0.004555
57,35899.7,1.51226,2.05343,1.16003,0.89899,0.84279,0.91148,0.512,1.61202,1.6444,1.24381,0.004456,0.004456,0.004456
58,36224.5,1.52511,2.11924,1.16737,0.91466,0.83712,0.91865,0.51566,1.60076,1.66278,1.23445,0.004357,0.004357,0.004357
59,37144.3,1.50232,2.08406,1.14582,0.91311,0.83589,0.91579,0.51474,1.61971,1.66276,1.24263,0.004258,0.004258,0.004258
60,37478.3,1.51577,2.08551,1.15236,0.9061,0.84091,0.91454,0.51768,1.63168,1.61964,1.25754,0.004159,0.004159,0.004159
61,37924.6,1.52134,1.9918,1.16229,0.89699,0.85417,0.91097,0.51766,1.61118,1.59464,1.24775,0.00406,0.00406,0.00406
62,38174.7,1.49197,2.04811,1.13819,0.88864,0.86144,0.91847,0.52186,1.61095,1.60804,1.24466,0.003961,0.003961,0.003961
63,38423.1,1.5118,1.99786,1.15378,0.89444,0.85795,0.92031,0.52388,1.60181,1.60468,1.24165,0.003862,0.003862,0.003862
64,66778,1.47967,1.92882,1.13655,0.90086,0.86364,0.91363,0.52429,1.59524,1.58594,1.23486,0.003763,0.003763,0.003763
65,67031,1.49303,1.95503,1.14294,0.92095,0.85038,0.91724,0.52071,1.58883,1.57474,1.23024,0.003664,0.003664,0.003664
66,67632.4,1.49171,1.89684,1.14098,0.91038,0.84659,0.91866,0.52378,1.58604,1.58292,1.22108,0.003565,0.003565,0.003565
